cohort_id,user_count,percentage,dominant_PROFILE_TYPE,dominant_PROFILE_TYPE_percentage,dominant_Location_CITY,dominant_Location_CITY_percentage,dominant_Location_Region_user,dominant_Location_Region_user_percentage,dominant_Location_Country_user,dominant_Location_Country_user_percentage,dominant_Genre_user,dominant_Genre_user_percentage,dominant_Language_user,dominant_Language_user_percentage,dominant_Content_type_user,dominant_Content_type_user_percentage,dominant_Category_user,dominant_Category_user_percentage
990,48,0.063687,Child,100.0,Navi Mumbai (Reliance Corporate Park),100.0,MH,100.0,India,100.0,"Kids & Family,Drama,Entertainment",22.9167,NC,68.75,Video,93.75,Movies,97.9167
991,7,0.009288,Adult,100.0,Virār,28.5714,MH,28.5714,India,100.0,"Music,Arts & Culture, Kids & Family,Drama,Entertainment, Music,Biography,Drama, News,Music, Kids & Family,Drama,Inspirational,Entertainment, Drama,Survival,Entertainment,Literature",14.2857,Hindi,42.8571,"Audio, Video",57.1429,"Radio Channels, Movies, Shows",28.5714
992,34,0.045111,Adult,100.0,Bareilly,11.7647,UP,23.5294,India,100.0,Comedy,94.1176,Hindi,100.0,Video,100.0,Shows,100.0
993,38,0.050419,Adult,100.0,Ambattur,10.5263,TN,76.3158,India,94.7368,"News,Educational,Infotainment",57.8947,Tamil,84.2105,Video,100.0,TV Channels,94.7368
994,7,0.009288,Adult,100.0,Patna (Police Colony),85.7143,BR,100.0,India,100.0,"Drama,Horror,Thriller",85.7143,Hindi,100.0,Video,100.0,Shows,100.0
995,22,0.02919,Adult,100.0,Meerut,31.8182,UP,95.4545,India,100.0,"Drama, Music, Entertainment,Educational,Infotainment, Entertainment,News",4.5455,Hindi,59.0909,Video,63.6364,"Radio Channels, TV Channels",27.2727
996,22,0.02919,Adult,100.0,Gorakhpur,86.3636,UP,95.4545,India,95.4545,"News, Music,Arts & Culture",9.0909,Hindi,63.6364,Video,86.3636,TV Channels,50.0
997,16,0.021229,Adult,100.0,Navi Mumbai (Reliance Corporate Park),100.0,MH,100.0,India,100.0,"News, Action,Crime,Thriller, Romance,Action,Drama,War, Comedy",6.25,"Bhojpuri, Hindi",25.0,Video,100.0,"TV Channels, Movies",25.0
998,53,0.070321,Adult,100.0,Kanpur,83.0189,UP,92.4528,India,96.2264,"Sports,News,Infotainment",11.3208,Hindi,81.1321,Video,86.7925,TV Channels,58.4906
999,49,0.065013,Adult,100.0,Navi Mumbai (Reliance Corporate Park),100.0,MH,100.0,India,100.0,"News, Music,Biography,Drama, Educational,News,Infotainment",2.0408,Hindi,63.2653,Video,87.7551,"TV Channels, Movies",81.6327
